"rank_mu","rank_nu","mu_mean","nu_mean","mu_sim","nu_sim","ess_mean","rhat_max","time_sec","ess_per_sec"
170,168,16.226374140446,0.000944841955,c(mu = 38.7322046558624),c(nu = 0.0014301940040375),21.976573942011,1.01104426069099,1729.78803992271,0.0127047785247682
80,79,27.0028089135003,0.00253025254,c(mu = 16.2733361997815),c(nu = 0.00203582765563011),32.4603399412015,1.01845111684531,746.640291213989,0.043475205293868
19,18,2.61563687599027,0.01380944313,c(mu = 2.50297853597694e-06),c(nu = 0.0024312185583733),1.81640691935316,1.60792734292845,132.839376449585,0.0136737085636842
4,2,4.172533355827,0.0141939443,c(mu = 0.000523419448951721),c(nu = 0.00258154325896869),29.5732605744206,1.01184686416717,150.610033035278,0.196356510774375
15,16,0.381903786717273,0.01526701375,c(mu = 3.36651062258209e-12),c(nu = 0.00278389148011246),4.65599975109273,1.20212473236563,113.956580400467,0.0408576646888718
50,36,5.02219426038505,0.00615379131,c(mu = 0.641646403065765),c(nu = 0.00292911125978488),1.51646994432459,2.03387078264964,305.204435110092,0.00496870218736361
4,4,0.145407342775773,0.0145885627,c(mu = 2.42835545706583e-13),c(nu = 0.00293757157558366),31.6243459129424,1.02351782107063,110.155194044113,0.287089012800231
15,6,2.649409616615,0.0107154908,c(mu = 0.00836943783093144),c(nu = 0.00333842540848821),45.2781116812923,0.999295034574475,178.923599243164,0.253058354922525
98,108,14.9030266243659,0.003648022725,c(mu = 11.7458128725219),c(nu = 0.00372622886180458),37.0789320062646,1.10010613191993,517.942315101624,0.0715889220192203
6,6,0.0157631458569632,0.01533769565,c(mu = 2.21860865916356e-13),c(nu = 0.00395559463782775),18.4397665254922,1.0656955995354,106.388891458511,0.173324172032408
0,0,0.19776505358223,0.021652075,c(mu = 1.06166881481484e-11),c(nu = 0.00450132148702207),6.7965501659187,1.11430406735883,107.084443092346,0.0634690714136466
93,109,2.84984656428521,0.00480451743,c(mu = 0.790019375952006),c(nu = 0.00457478702562196),14.0030102193715,1.12127729058117,316.61331486702,0.0442274836901692
20,27,3.3497363659355,0.01023719765,c(mu = 0.0722589573256517),c(nu = 0.00516778029652218),38.116992647991,1.06107854870341,198.252776861191,0.192264609109002
36,42,0.244099030290535,0.01061143895,c(mu = 4.95057866621406e-05),c(nu = 0.00526775375104931),48.5358928808602,1.02851448548567,127.196175813675,0.38158295695901
83,78,0.34746496613847,0.00896161435,c(mu = 0.00148868225778574),c(nu = 0.00534774223774538),10.734397471617,1.13377542178599,116.33641242981,0.0922703154362224
173,162,0.207485017351666,0.00378717612,c(mu = 0.469590440184918),c(nu = 0.00554005963279199),31.5751672015198,1.00202785250887,233.158679485321,0.135423511881348
42,56,32.93777247,0.0076564499,c(mu = 18.1065347876146),c(nu = 0.00565258484136945),27.4678645034566,1.05091757753655,265.907400608063,0.103298608615798
46,10,2.4943637656311,0.0181778807,c(mu = 0.137992354647755),c(nu = 0.00568902893607386),3.24376233588022,1.27528705093241,115.540796279907,0.0280746060293884
50,59,0.839913534843488,0.0091073364,c(mu = 0.0104852216512582),c(nu = 0.0057857782074756),4.96565309185546,1.17647622232543,163.317464113235,0.0304049118005687
86,82,0.0296282621697653,0.00921463605,c(mu = 7.74744914574281e-06),c(nu = 0.00622210342730433),2.95649618019917,1.37159563587183,110.174805164337,0.0268345941323813
1,0,0.10851451994758,0.0330089862,c(mu = 1.50747869878097e-10),c(nu = 0.00659544943418904),29.9949996860388,1.05752902413604,97.4560563564301,0.307779739992113
158,184,3.21744412087229,0.00380810559,c(mu = 6.04866825068515),c(nu = 0.00673415904784676),22.9564451573828,1.05288283874498,371.460331439972,0.0618005294627067
56,39,0.0980170305553463,0.0160091001,c(mu = 2.54054485013729e-05),c(nu = 0.00699469007584655),10.3060772049769,1.08674485804027,106.769259214401,0.0965266339844272
91,129,226.826715,0.00699450655,c(mu = 226.408559324993),c(nu = 0.00733850579665368),50.3208150565231,1.03869635835881,335.580313682556,0.149951630071257
4,6,0.0745062040725884,0.0518399752,c(mu = 1.01022395358508e-13),c(nu = 0.0102672867900776),32.9173607970517,1.00286992370529,87.2403728961945,0.377317974514155
25,26,0.514449323780905,0.0286061672,c(mu = 0.000329636515498976),c(nu = 0.01044980797008),1.87188132254929,1.54676203722137,106.094788074493,0.0176434804811992
12,15,0.0758547378749173,0.03971323255,c(mu = 2.32758865516628e-10),c(nu = 0.0111509839865926),17.5905628676023,1.00380927464241,93.5438449382782,0.188046181757964
17,24,15.09841635,0.0187387722,c(mu = 6.0497241767969),c(nu = 0.0111947754136225),42.9007463663714,1.09570468554786,128.174359560013,0.334706149604631
20,18,2.035979486512,0.02638507825,c(mu = 0.0943659993373651),c(nu = 0.0113227705589076),16.3757142795482,1.0755191906879,111.06849694252,0.147437975036458
10,11,23.06442235,0.0212532545,c(mu = 10.0337935600504),c(nu = 0.0119137690589501),65.6330630374305,1.01170446683249,115.368532896042,0.568899173716391
49,49,3.81838181254101,0.0207558649,c(mu = 1.01803354387202),c(nu = 0.0122072948069815),19.588295642466,1.05503676276326,114.845005989075,0.170562885810894
99,141,44.236799065,0.0102507545,c(mu = 47.2871009402815),c(nu = 0.0122284874848155),27.7174474541984,1.07208351912936,209.425526857376,0.132349899604525
136,133,0.4596791572357,0.01196155695,c(mu = 0.199672220427702),c(nu = 0.0123340873860186),21.9804762548082,1.04547460280496,113.741004943848,0.193250237815814
8,0,3.671138835,0.0383711905,c(mu = 0.405454992041677),c(nu = 0.0132551336576882),48.0255682912023,1.01976219855465,105.177096605301,0.45661622008286
175,134,15.0589637175,0.0114417765,c(mu = 26.2489734958411),c(nu = 0.0135195184250988),20.0345077185382,1.07033863786604,190.620781421661,0.105101382803699
30,40,0.780422839275516,0.02956355295,c(mu = 0.0031287973327186),c(nu = 0.0138375831823561),9.66603762796626,1.10022691419574,106.460065364838,0.090794962363031
180,109,22.23814265,0.01357355785,c(mu = 34.2590227878125),c(nu = 0.0138446340369161),20.6584838538152,1.06777724040281,149.348126888275,0.138324358559043
143,136,2.76829589735,0.01155525445,c(mu = 4.18459521729042),c(nu = 0.0139756189422043),15.7509464835116,0.996467911551795,164.601883649826,0.0956911678910078
11,14,0.162597697987905,0.04252350605,c(mu = 6.33870357791178e-06),c(nu = 0.0140100029999473),12.5993008669899,1.05404273459904,93.0191836357117,0.135448413698535
0,1,19.0891996,0.043431521,c(mu = 4.25902426969674),c(nu = 0.015281604610049),44.2404825677513,1.00548074359391,99.2761850357056,0.44563036494442
6,6,0.154002028529308,0.06714564125,c(mu = 2.0123540073943e-08),c(nu = 0.0165283900809105),11.9935713622489,1.24002678908308,88.2037150859833,0.135975807261148
0,0,0.00640029467458885,0.238750392,c(mu = 5.4843328972027e-32),c(nu = 0.017392222263536),14.9698547669763,1.00789084523563,65.4714176654816,0.228647176138189
43,59,12.7839895,0.0231294203,c(mu = 7.93554639663341),c(nu = 0.0178217694131334),52.8975104638576,1.03706379772511,111.637104034424,0.473834491868818
90,97,0.166961717073425,0.02195122505,c(mu = 0.00517607450772105),c(nu = 0.018042573439743),9.81324048274472,1.1125091316848,105.56588768959,0.0929584423294001
