"rank_mu","rank_nu","mu_mean","nu_mean","mu_sim","nu_sim","ess_mean","rhat_max","time_sec","ess_per_sec"
0,0,0.476039815,0.00621999885,2.00486368410549e-06,0.00232077969550204,61.6567690701447,1.00386151276672,140.224040985107,0.439701841688424
200,200,1.418789974,0.00113638806,24.8406352815356,0.00269600221622007,14.4384602182467,1.02499982741184,511.689308404922,0.0282172403860761
122,104,0.85814323635,0.0027678115,0.808153405363628,0.00279513218274999,48.9003462510346,1.03261297446721,242.671709775925,0.201508228116857
0,0,1.1455018191,0.00716614495,0.000788602382316291,0.00281828440871771,33.2120060972789,1.0246779919306,117.305516719818,0.283123991317519
200,200,0.8894956875,0.00137551995,14.631801975516,0.00360427349119827,68.7637414006147,1.00035334377982,412.788697957993,0.166583391795316
17,11,0.8371341422,0.00716371015,0.0670119731851571,0.00411996948208143,46.5348063030925,0.997054833782042,120.50061750412,0.386178986190685
0,4,0.63624118955,0.00940700265,0.00535637395220936,0.0050820224597498,59.3879197146581,1.01161499599039,90.4789109230042,0.656373060957775
1,1,1.18734248695,0.01278565855,0.0090130197094376,0.00528470610677803,40.6231230671398,1.07862579155082,80.1071262359619,0.507109978548989
0,0,1.540279182,0.02279925715,9.88566223830041e-05,0.00551841468893524,39.7844548492181,1.04062722401611,52.6773517131805,0.755247816288068
13,20,1.08805001585,0.0107516347,0.0625927473751025,0.00611131554282176,58.350495855095,1.01400441408533,89.9708557128906,0.64854885943621
200,200,1.19448036305,0.00147081404,52.799519692476,0.00620862951311662,5.41514743521947,1.19329912010736,391.664393424988,0.0138259885915736
1,1,0.541454086535,0.02341284995,0.00070238028025905,0.00912727968236155,55.1410505914209,1.05097284170013,42.7129757404327,1.29096719756811
8,0,0.977995119,0.0212995985,0.137932112359699,0.010012450870629,75.5174120009033,1.0572960307442,51.7230565547943,1.46003382303793
104,78,1.1557406359,0.0118592724,0.841738936391267,0.0103554921523184,29.8931321689216,1.00227472193373,86.6058735847473,0.345162873274063
10,6,0.5346550606,0.0235991595,0.0122393085219759,0.010830826693282,49.3016697830437,1.00342859040695,44.3447008132935,1.11178266802658
0,0,0.25305102825,0.06093382,7.71672434377479e-06,0.0134904455106992,34.2096478072694,1.03860726051526,21.4440479278564,1.59529804831438
200,200,1.7973857325,0.00607093875,15.3482317525956,0.0139353628617745,37.0537231789456,1.01871826296423,155.160744667053,0.238808619141756
0,0,0.303205333765,0.109895112,1.73725524859113e-08,0.0150952035319918,69.3924187954159,1.02147889081691,17.1093645095825,4.05581509217078
0,2,0.5464599882,0.039982272,0.000193588101711521,0.0152060455211996,39.3228153095019,1.02253582540253,29.3227310180664,1.34103522912904
3,12,0.8778202675,0.0315833605,0.0390872928171181,0.0176251126341677,6.73182928443467,1.14080340497116,38.155282497406,0.17643243199398
200,200,1.7359150975,0.0013100566,135.493612979658,0.0186997495539865,7.08847880259209,1.23158040994937,459.970982789993,0.0154107086486115
200,200,1.2822361781,0.0040923705,25.9074767652923,0.0191960074514604,36.1315592703778,1.0039490544495,189.138951778412,0.191031825706152
