"rank_mu","rank_nu","mu_mean","nu_mean","mu_sim","nu_sim","ess_mean","rhat_max","time_sec","ess_per_sec"
200,200,0.00109586132027174,1.411741115,0.0467325540411745,8.17869309496825,27.8166176597505,1.02013592393814,88.6901557445526,0.313638164531682
125,189,5.6969689,5.82978105,5.71693886135751,6.69759216079746,145.328262454362,1.00128913619922,80.6912188529968,1.80104185461768
162,199,0.0036274841186465,1.53699377,0.000972243726471723,6.55173942881605,26.4902835288291,1.04437109630304,90.1056635379791,0.293991326279547
176,200,0.00417639441925329,1.587344335,0.00470845893373767,6.27011049268793,39.5802593508819,1.06542765045982,89.2779603004456,0.443337406205106
115,23,86.6922125,6.8836257,86.721897931064,6.0853496940236,146.168183188126,1.0417722887069,97.1621854305267,1.50437315237871
200,200,0.0007605917467465,1.35881205,0.367267600908786,5.8151579654817,41.0429798452506,1.00610331560273,91.1094834804535,0.450479777487224
16,197,0.00933334906301171,1.948627395,1.37382842451417e-13,5.73898382729964,24.0904517777756,1.10498035955848,90.5488123893738,0.266049340041954
154,195,0.00476752005090376,1.612011555,0.000420369785627313,5.73161373217158,38.3805732811696,1.02653065382048,91.2065913677216,0.420809205843786
198,200,0.3847269557,1.94467313,0.757731591482273,5.67094552509184,15.5853100754214,1.22567037463148,92.3740808963776,0.168719514437221
117,199,0.0006788032501612,1.50025599,5.14641689852242e-08,5.55593014235564,20.5496044397576,1.14329872773327,89.8702547550201,0.228658575585152
200,200,0.2966950014165,1.639747715,0.749076460864366,5.54782546458807,12.4360692450947,1.06150772612291,95.1426327228546,0.130709744824071
53,199,0.00249842049445729,1.369142245,1.0385433435159e-11,5.2156730020778,11.5898542306992,1.19452999324717,90.5093824863434,0.128051412045021
200,195,0.00414276162372945,1.552763624,0.0887458329624906,5.13567510346438,46.3150324361261,1.02728887652066,90.3276734352112,0.512744662568401
200,198,0.000781193005545418,1.62915614,0.236255199018327,5.06874679641648,51.6033541090598,1.00218340737355,87.5105621814728,0.589681437562344
117,157,8.916132,4.6337627,8.93232349559504,5.00174608427677,162.491640794496,1.00817676249137,84.0478284358978,1.93332348757144
